id,produto,quantidade,preço,data
1,suporte para flauta,4,79.00,07/03/2023
2,estojo para flauta,10,9999,08/03/2023
3,saxofone,4,4359.00,10/03/2023
4,suporte para saxofone,5,32.69,11/03/2023
5,teclado musical casio,2,784.98,16/03/2023
6,sintetizador de voz,3,324.12,17/03/2023
7,controlador com cabo usb,4,124.00,18/03/2023
8,caixa de som jbl,2,39.99,19/03/2023
9,microfone sem fio shure,3,2000.00,20/03/2023
10,pedestal para microfone,6,150.00,21/03/2023
11,cabo para microfone,10,12.50,22/03/2023
12,caixa acústica,8,789.00,24/03/2023
13,mixer de áudio behringer,2,888.00,25/03/2023
14,fone de ouvido profissional akg,3,300.00,27/03/2023
15,monitor yamaha hs5,2,990.00,31/01/2023
