id,produto,quantidade,preço,data
1,filtro de linha,6,30.00,23/01/2023
2,cabo HDMI,10,15.00,24/01/2023
3,pilha AA,20,2.00,25/01/2023
4,luminária de mesa,4,40.00,26/01/2023
5,relogio de parede,8,20.00,27/01/2023
6,porta-retrato digital,2,100.00,28/01/2023
7,vaporizador de roupas,1,150.00,29/01/2023
8,balança digital,3,60.00,30/01/2023
9,furadeira elétrica,2,200.00,31/01/2023
10,jogo de panelas antiaderente,5,120.00,01/02/2023
11,faca elétrica,4,80.00,02/02/2023
12,sanduicheira elétrica,6,40.00,03/02/2023
13,mixer de alimentos,7,50.00,04/02/2023
14,batedeira planetária,2,300.00,05/02/2023
15,guitarra elétrica fender,3,2999.00,20/02/2023
