id,produto,quantidade,preço,data
1,camiseta,2,29.90,01/01/2023
2,calça,5,80.00,02/01/2023
3,sapato,3,100.00,03/01/2023
4,meia,20,5.00,04/01/2023
5,cinto,8,15.00,05/01/2023
6,camisa,7,40.00,06/01/2023
7,bermuda,6,50.00,07/01/2023
8,tênis,4,120.00,08/01/2023
9,bone,12,10.00,09/01/2023
10,casaco,2,150.00,10/01/2023
11,mochila,9,60.00,11/01/2023
12,livro,15,20.00,12/01/2023
13,caderno,18,8.00,13/01/2023
14,lápis,30,1.00,14/01/2023
15,borracha,25,0.50,15/01/2023
16,cola,10,2.50,16/01/2023
17,régua,12,4.00,17/01/2023
18,pincel atômico,8,5.00,18/01/2023
19,papel sulfite A4 500 folhas,6,25.00,19/01/2023
20,pasta sanfonada,4,35.00,20/01/2023
21,fone de ouvido,5,80.00,21/01/2023
22,mouse sem fio,7,50.00,22/01/2023
